name,score,genre1,genre2,genre3,duration,release,rating,country,language,sound,color,ratio,budget,gross
Platoon,8.1,Drama,War,#N/A,120,26 March 1987,18,USA,English,Dolby Stereo,Color,1.85 : 1,"$6,000,000","$138,545,632"
El salario del miedo,8.1,Adventure,Drama,Thriller,131,22 April 1953,#N/A,France,French,Mono,Black and White,1.37 : 1,#N/A,"$1,098"
Rush,8.1,Action,Biography,Drama,123,20 September 2013,12,UK,English,Dolby Digital|Datasat|SDDS,Color,2.35 : 1,"$38,000,000","$96,983,009"
Hacia rutas salvajes,8.1,Adventure,Biography,Drama,148,25 January 2008,7,USA,English,DTS|Dolby Digital|SDDS,Color,2.35 : 1,"$15,000,000","$56,675,895"
El odio,8.1,Crime,Drama,#N/A,98,30 January 1996,18,France,French,Dolby Digital,Black and White,1.85 : 1,"EUR2,590,000","$302,606"
Los cuatrocientos golpes,8.1,Crime,Drama,#N/A,99,3 June 1959,A,France,French,Mono,Black and White,2.35 : 1,#N/A,"$127,244"
La vida de Brian,8.1,Comedy,#N/A,#N/A,94,29 October 1980,13,UK,English,Dolby Stereo,Color,1.85 : 1,"$4,000,000","$20,741,744"
La pasión de Juana de Arco,8.1,Biography,Drama,History,110,25 October 1928,13,France,None,Silent,Black and White,1.33 : 1,#N/A,"$21,877"
Spotlight,8.1,Biography,Crime,Drama,129,29 January 2016,12,USA,English,Dolby Digital,Color,1.85 : 1,"$20,000,000","$98,690,254"
Hotel Rwanda,8.1,Biography,Drama,History,121,25 February 2005,13,UK,English,DTS|Dolby Digital,Color,2.35 : 1,"$17,500,000","$33,882,243"
La Liga de la Justicia de Zack Snyder,8.2,Action,Adventure,Fantasy,242,18 March 2021,16,USA,English,Dolby Digital|Dolby Atmos,Color,1.33 : 1,#N/A,#N/A
Gangs of Wasseypur,8.2,Action,Comedy,Crime,321,22 June 2012,16,India,Hindi,Dolby Digital EX|Datasat,Color,2.35 : 1,"INR184,000,000","$4,384,642"
Amores perros,8.1,Drama,Thriller,#N/A,154,16 March 2001,18,Mexico,Spanish,Dolby Digital,Color,1.85 : 1,"$2,000,000","$20,908,467"
"Monstruos, S.A.",8.1,Animation,Adventure,Comedy,92,8 February 2002,A,USA,English,SDDS|Dolby Digital|DTS|Dolby Atmos,Color,1.85 : 1,"$115,000,000","$579,707,738"
Andrei Rublev,8.1,Biography,Drama,History,165,7 June 1978,#N/A,Soviet Union,Russian,Mono,Black and White,2.35 : 1,"RUR1,000,000","$145,491"
Rocky,8.1,Drama,Sport,#N/A,120,23 May 1977,18,USA,English,Mono,Color,1.33 : 1,"$960,000","$117,250,382"
Soul,8.1,Animation,Adventure,Comedy,100,25 December 2020,A,USA,English,Dolby Atmos,Color,2.39 : 1,#N/A,"$135,581,765"
Ratsasan,8.5,Action,Crime,Thriller,170,5 October 2018,#N/A,India,Tamil,Dolby Atmos,Color,#N/A,#N/A,#N/A
Nausicaä del Valle del Viento,8.1,Animation,Adventure,Fantasy,117,7 June 1988,7,Japan,Japanese,Dolby Stereo,Color,1.85 : 1,"$1,000,000","$8,736,506"
Rebeca,8.1,Drama,Mystery,Romance,130,12 April 1940,14,USA,English,Mono,Black and White,1.37 : 1,"$1,288,000","$72,275"
Antes del atardecer,8.1,Drama,Romance,#N/A,80,8 October 2004,13,USA,English,DTS|Dolby Digital|SDDS,Color,1.85 : 1,"$2,700,000","$15,936,507"
Deseando amar,8.1,Drama,Romance,#N/A,98,16 February 2001,13,Hong Kong,Cantonese,Dolby Digital,Color,1.66 : 1,#N/A,"$13,719,237"
El tiempo de los gitanos,8.2,Comedy,Crime,Drama,142,September 1990,13,Yugoslavia,Macedonian,Mono|Dolby Stereo,Color,1.85 : 1,#N/A,#N/A
Rang De Basanti,8.2,Comedy,Crime,Drama,167,26 January 2006,#N/A,India,Hindi,DTS|Dolby Digital EX,Color,2.35 : 1,#N/A,"$10,800,778"
Rififi,8.1,Crime,Drama,Thriller,118,13 April 1955,#N/A,France,French,Mono,Black and White,1.37 : 1,#N/A,"$521,342"
"París, Texas",8.1,Drama,#N/A,#N/A,145,18 January 1989,A,West Germany,English,Mono,Color,1.66 : 1,"GBP1,162,000","$2,206,121"
Drishyam,8.4,Crime,Drama,Thriller,222222222222222222222222222222222222222222222222222222222222 ,19 December 2013,#N/A,India,Malayalam,#N/A,Color,#N/A,"INR35,000,000","$13,076,265"
Retrato de una mujer en llamas,8.1,Drama,Romance,#N/A,122,18 October 2019,7/fig,France,French,Dolby Digital,Color,1.85 : 1,#N/A,"$10,043,341"
Sucedió una noche,8.1,Comedy,Romance,#N/A,105,22 February 1934,A,USA,English,Mono,Black and White,1.37 : 1,"$325,000",#N/A
Milagro en la celda 7,8.2,Drama,#N/A,#N/A,132,13 March 2020,12,Turkey,Turkish,Stereo,Color,2.35 : 1,#N/A,"$17,163,660"
Neon Genesis Evangelion: The End of Evangelion,8.1,Animation,Action,Drama,87,21 June 2019,13,Japan,Japanese,Dolby Digital|DTS-ES|Dolby Digital EX,Color,1.85 : 1,#N/A,#N/A
Mandarinas,8.2,Drama,War,#N/A,87,17 October 2013,12,Estonia,Estonian,Dolby Digital,Color,2.35 : 1,"EUR650,000","$1,024,132"
La batalla de Argel,8.1,Drama,War,#N/A,121,1 June 1978,18,Italy,Arabic,Mono,Black and White,1.85 : 1,"$800,000","$964,028"
