name,score,genre1,genre2,genre3,duration,release,rating,country,language,sound,color,ratio,budget,gross
¡Olvídate de mí!,8.3,Drama,Romance,Sci-Fi,108,24 September 2004,13,USA,English,DTS|Dolby|SDDS,Color,1.85 : 1,"$20,000,000","$74,036,715"
Ciudadano Kane,8.3,Drama,Mystery,#N/A,119,11 February 1946,A,USA,English,Mono,Black and White,1.37 : 1,"$839,727","$1,600,719"
Dangal,8.4,Action,Biography,Drama,161,21 December 2016,A,India,Hindi,Dolby Atmos,Color,2.35 : 1,"INR700,000,000","$303,723,636"
Ven y mira ,8.3,Drama,Thriller,War,142,13 May 1986,18,Soviet Union,Russian,Mono,Color,1.37 : 1,#N/A,"$20,929,068"
Cantando bajo la lluvia,8.3,Comedy,Musical,Romance,103,11 April 1952,A,USA,English,Mono,Color,1.37 : 1,"$2,540,800","$1,865,056"
El chico,8.3,Comedy,Drama,Family,68,6 February 1921,A,USA,None,Mono|Silent,Black and White,1.33 : 1,"$250,000","$26,916"
Ladrón de bicicletas,8.3,Drama,#N/A,#N/A,89,24 November 1948,A,Italy,Italian,Mono,Black and White,1.37 : 1,"$133,000","$428,978"
La chaqueta metálica,8.3,Drama,War,#N/A,116,10 July 1987,18,UK,English,Mono|Dolby Digital,Color,1.33 : 1,"$30,000,000","$46,357,676"
Ikiru ,8.3,Drama,#N/A,#N/A,143,9 October 1952,12,Japan,Japanese,Mono,Black and White,1.37 : 1,#N/A,"$96,302"
Snatch: Cerdos y diamantes,8.3,Comedy,Crime,#N/A,104,3 November 2000,18,UK,English,Dolby Digital|SDDS|Dolby Atmos,Color,1.85 : 1,"GBP6,000,000","$83,557,872"
Con la muerte en los talones,8.3,Adventure,Mystery,Thriller,136,18 December 1959,13,USA,English,Mono|Dolby SR|Dolby Digital,Color,1.85 : 1,"$3,101,000","$73,695"
El precio del poder,8.3,Crime,Drama,#N/A,170,12 March 1984,18,USA,English,4-Track Stereo|DTS,Color,2.39 : 1,"$25,000,000","$65,884,703"
La naranja mecánica,8.3,Crime,Drama,Sci-Fi,136,16 June 1975,(Banned),UK,English,Dolby Digital|Mono,Color,1.66 : 1,"$2,200,000","$26,904,636"
1917,8.3,Drama,Thriller,War,119,10 January 2020,12,USA,English,Dolby Atmos|Dolby Digital,Color,2.39 : 1,"$95,000,000","$384,965,466"
Taxi Driver,8.2,Crime,Drama,#N/A,114,10 March 1977,18,USA,English,Dolby SR|Stereo,Color,1.85 : 1,"$1,300,000","$28,441,292"
Incendios,8.3,Drama,Mystery,War,131,11 March 2011,12,Canada,French,Dolby Digital,Color,1.85 : 1,"$6,800,000","$7,099,598"
"Nader y Simin, una separación",8.3,Drama,#N/A,#N/A,123,7 October 2011,7,Iran,Persian,Dolby Digital,Color,1.85 : 1,"$500,000","$22,926,076"
Toy Story 3,8.2,Animation,Adventure,Comedy,103,23 July 2010,A,USA,English,DTS|SDDS|Sonics-DDP|Dolby Digital|Dolby Surround 7.1|Dolby Atmos,Color,1.78 : 1,"$200,000,000","$1,066,970,811"
El golpe,8.3,Comedy,Crime,Drama,129,25 December 1973,A,USA,English,Mono|Dolby Digital,Color,1.85 : 1,"$5,500,000","$156,000,000"
Lawrence de Arabia,8.3,Adventure,Biography,Drama,187,1 October 1963,A,UK,English,70 mm 6-Track|Mono|4-Track Stereo|Dolby Atmos,Color,2.20 : 1,"$15,000,000","$45,715,757"
Amelie,8.3,Comedy,Romance,#N/A,122,19 October 2001,A,France,French,DTS|Dolby Digital,Color,2.39 : 1,"$10,000,000","$173,924,742"
Metrópolis,8.3,Drama,Sci-Fi,#N/A,153,6 February 1927,A,Germany,None,Dolby Digital|Silent,Black and White,1.33 : 1,"DEM6,000,000","$1,349,711"
El apartamento,8.3,Comedy,Drama,Romance,125,29 June 1960,13,USA,English,Mono,Black and White,2.39 : 1,"$3,000,000","$18,778,454"
La muerte tenía un precio,8.2,Western,#N/A,#N/A,132,20 December 1965,18,Italy,Italian,Mono,Color,2.35 : 1,"$600,000","$15,000,000"
Perdición,8.3,Crime,Drama,Film-Noir,107,6 July 1944,A,USA,English,Mono,Black and White,1.37 : 1,"$927,262","$13,886"
Matar un ruiseñor,8.2,Crime,Drama,#N/A,129,16 April 1964,A,USA,English,Mono,Black and White,1.85 : 1,"$2,000,000","$599,146"
Up,8.2,Animation,Adventure,Comedy,96,30 July 2009,A,USA,English,SDDS|Dolby Digital|DTS|Sonics-DDP|Dolby Atmos,Color,1.85 : 1,"$175,000,000","$735,099,102"
Indiana Jones y la última cruzada,8.2,Action,Adventure,#N/A,127,1 September 1989,A,USA,English,70 mm 6-Track|Dolby|Dolby Atmos,Color,2.39 : 1,"$48,000,000","$474,171,806"
Heat,8.2,Crime,Drama,Thriller,170,9 February 1996,13,USA,English,Dolby Digital|SDDS|Dolby Atmos,Color,2.35 : 1,"$60,000,000","$187,436,818"
L.A. Confidential,8.2,Crime,Drama,Mystery,138,7 November 1997,18,USA,English,Dolby Digital|DTS|SDDS,Color,2.39 : 1,"$35,000,000","$126,216,940"
Green Book,8.2,Biography,Comedy,Drama,130,1 February 2019,12,USA,English,Dolby Digital|Dolby Surround 7.1|SDDS|DTS,Color,2.00 : 1,"$23,000,000","$321,752,656"
Jungla de cristal,8.2,Action,Thriller,#N/A,132,30 September 1988,12,USA,English,70 mm 6-Track|Dolby Stereo,Color,2.39 : 1,"$28,000,000","$141,603,197"
Batman Begins,8.2,Action,Adventure,#N/A,140,17 June 2005,12,USA,English,DTS|Dolby Digital|SDDS|Sonics-DDP,Color,2.39 : 1,"$150,000,000","$373,661,946"
Yojimbo,8.2,Action,Drama,Thriller,110,25 April 1961,13,Japan,Japanese,Perspecta Stereo,Black and White,2.35 : 1,#N/A,"$46,808"
Los caballeros de la mesa cuadrada y sus locos seguidores,8.2,Adventure,Comedy,Fantasy,91,25 May 1975,A,UK,English,Dolby Digital|Mono,Color,1.66 : 1,"GBP229,575","$1,940,906"
Rashomon,8.2,Crime,Drama,Mystery,88,26 August 1950,13,Japan,Japanese,Mono,Black and White,1.37 : 1,"$250,000","$46,808"
El hundimiento,8.2,Biography,Drama,History,156,18 February 2005,18,Germany,German,Dolby Digital|DTS,Color,1.85 : 1,"EUR13,500,000","$92,181,574"
Children of Heaven,8.3,Drama,Family,Sport,89,8 October 1999,13,Iran,Persian,Mono,Color,1.85 : 1,"$180,000","$933,933"
Ran,8.2,Action,Drama,War,162,17 January 1986,13,Japan,Japanese,Dolby|70 mm 6-Track,Color,1.85 : 1,"$11,500,000","$4,164,283"
Sin perdón,8.2,Drama,Western,#N/A,130,25 September 1992,18,USA,English,Dolby Digital,Color,2.39 : 1,"$14,400,000","$159,157,447"
Con faldas y a lo loco,8.2,Comedy,Music,Romance,121,19 March 1959,A,USA,English,Mono,Black and White,1.85 : 1,"$2,883,848","$195,088"
El castillo ambulante,8.2,Animation,Adventure,Family,119,3 March 2006,7,Japan,Japanese,Dolby Digital EX|DTS-ES|SDDS,Color,1.85 : 1,"$24,000,000","$236,214,446"
Eva al desnudo,8.2,Drama,#N/A,#N/A,138,27 October 1950,13,USA,English,Mono,Black and White,1.37 : 1,"$1,400,000","$151,052"
Casino,8.2,Crime,Drama,#N/A,178,19 February 1996,18,USA,English,DTS-Stereo|DTS|DTS,Color,2.39 : 1,"$52,000,000","$116,112,375"
